primaryKey,gridType,gameId,eventNumber,playerId,playerName,teamId,teamName,period,minutesRemaining,secondsRemaining,eventType,actionType,shotZoneBasic,shotZoneArea,shotZoneRange,shotType,shotDistance,xCoordinate,yCoordinate,shotAttemptedFlag,shotMadeFlag,gameDate,homeTeam,awayTeam,season,seasonType,dt
0021800607_654_1628410,"Shot Chart Detail",0021800607,654,1628410,"Edmond Sumner",1610612754,"Indiana Pacers",4,0,50,"Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,196,162,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_656_202954,"Shot Chart Detail",0021800607,656,202954,"Brad Wanamaker",1610612738,"Boston Celtics",4,0,40,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",27,181,204,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_658_1628388,"Shot Chart Detail",0021800607,658,1628388,"TJ Leaf",1610612754,"Indiana Pacers",4,0,34,"Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",3,-32,18,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_68_203506,"Shot Chart Detail",0021800607,68,203506,"Victor Oladipo",1610612754,"Indiana Pacers",1,5,30,"Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-147,219,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_70_201152,"Shot Chart Detail",0021800607,70,201152,"Thaddeus Young",1610612754,"Indiana Pacers",1,5,21,"Made Shot","Hook Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,15,22,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_72_201143,"Shot Chart Detail",0021800607,72,201143,"Al Horford",1610612738,"Boston Celtics",1,5,6,"Missed Shot","Turnaround Hook Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",6,-20,62,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_74_203935,"Shot Chart Detail",0021800607,74,203935,"Marcus Smart",1610612738,"Boston Celtics",1,5,2,"Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",22,228,4,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_80_201152,"Shot Chart Detail",0021800607,80,201152,"Thaddeus Young",1610612754,"Indiana Pacers",1,4,50,"Made Shot","Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,5,15,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_83_203506,"Shot Chart Detail",0021800607,83,203506,"Victor Oladipo",1610612754,"Indiana Pacers",1,4,16,"Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-114,227,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_8_1628369,"Shot Chart Detail",0021800607,8,1628369,"Jayson Tatum",1610612738,"Boston Celtics",1,11,37,"Made Shot","Turnaround Fadeaway shot","2PT Field Goal",Mid-Range,"Left Side(L)","8-16 ft.",12,-106,62,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_91_202330,"Shot Chart Detail",0021800607,91,202330,"Gordon Hayward",1610612738,"Boston Celtics",1,3,53,"Missed Shot","Cutting Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,25,16,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_99_1627734,"Shot Chart Detail",0021800607,99,1627734,"Domantas Sabonis",1610612754,"Indiana Pacers",1,3,35,"Made Shot","Jump Shot","2PT Field Goal",Mid-Range,"Right Side Center(RC)","16-24 ft.",19,65,179,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
