gameId,homeTeam,awayTeam,homeWin,season
0021500232,1610612745,1610612755,1,2015-16
0021500233,1610612763,1610612737,0,2015-16
0021500234,1610612760,1610612765,1,2015-16
0021500235,1610612743,1610612759,0,2015-16
0021500236,1610612756,1610612744,0,2015-16
0021500237,1610612758,1610612750,0,2015-16
0021500238,1610612746,1610612740,1,2015-16
0021500239,1610612764,1610612761,0,2015-16
0021500240,1610612739,1610612751,1,2015-16
0021500241,1610612742,1610612743,1,2015-16
0021500242,1610612759,1610612737,1,2015-16
0021500243,1610612762,1610612740,1,2015-16
0021500244,1610612757,1610612747,1,2015-16
0021500245,1610612744,1610612758,1,2015-16
0021500246,1610612766,1610612749,1,2015-16
0021500247,1610612746,1610612750,1,2015-16
0021500248,1610612751,1610612765,1,2015-16
0021500249,1610612753,1610612738,1,2015-16
0021500250,1610612761,1610612756,0,2015-16
0021500251,1610612763,1610612755,1,2015-16
0021500252,1610612752,1610612745,0,2015-16
0021500253,1610612747,1610612754,0,2015-16
0021500254,1610612765,1610612745,1,2015-16
0021500255,1610612748,1610612738,0,2015-16
0021500256,1610612737,1610612760,1,2015-16
0021500257,1610612741,1610612759,1,2015-16
0021500258,1610612749,1610612743,1,2015-16
0021500259,1610612762,1610612744,0,2015-16
0021500260,1610612758,1610612742,1,2015-16
0021500261,1610612746,1610612757,1,2015-16
0021500262,1610612739,1610612764,0,2015-16
0021500263,1610612755,1610612747,1,2015-16
0021500264,1610612751,1610612756,1,2015-16
0021500265,1610612750,1610612753,0,2015-16
0021500266,1610612740,1610612763,0,2015-16
0021500267,1610612757,1610612742,0,2015-16
0021500268,1610612766,1610612744,0,2015-16
0021500269,1610612764,1610612747,0,2015-16
0021500270,1610612765,1610612756,1,2015-16
0021500271,1610612752,1610612755,1,2015-16
0021500272,1610612737,1610612761,0,2015-16
0021500273,1610612741,1610612743,1,2015-16
0021500274,1610612745,1610612740,1,2015-16
0021500275,1610612759,1610612749,1,2015-16
0021500276,1610612746,1610612754,0,2015-16
0021500277,1610612748,1610612760,1,2015-16
0021500278,1610612761,1610612743,0,2015-16
0021500279,1610612762,1610612753,0,2015-16
0021500280,1610612763,1610612759,0,2015-16
0021500281,1610612757,1610612754,1,2015-16
0021500282,1610612758,1610612738,0,2015-16
0021500283,1610612752,1610612751,1,2015-16
0021500284,1610612764,1610612756,1,2015-16
0021500285,1610612765,1610612749,1,2015-16
0021500286,1610612737,1610612747,1,2015-16
0021500287,1610612742,1610612745,0,2015-16
0021500288,1610612740,1610612739,1,2015-16
0021500289,1610612755,1610612743,0,2015-16
0021500290,1610612761,1610612744,0,2015-16
0021500291,1610612748,1610612739,1,2015-16
0021500292,1610612741,1610612766,0,2015-16
0021500293,1610612745,1610612758,1,2015-16
0021500294,1610612750,1610612757,0,2015-16
0021500295,1610612749,1610612752,1,2015-16
0021500296,1610612759,1610612738,1,2015-16
0021500297,1610612762,1610612754,1,2015-16
0021500298,1610612746,1610612753,1,2015-16
0021500299,1610612763,1610612756,1,2015-16
0021500300,1610612751,1610612744,0,2015-16
0021500301,1610612765,1610612747,1,2015-16
0021500302,1610612764,1610612742,0,2015-16
0021500303,1610612760,1610612758,1,2015-16
0021500304,1610612766,1610612765,1,2015-16
0021500305,1610612755,1610612759,0,2015-16
0021500306,1610612748,1610612764,0,2015-16
0021500307,1610612752,1610612742,0,2015-16
0021500308,1610612761,1610612747,1,2015-16
0021500309,1610612741,1610612756,0,2015-16
0021500310,1610612749,1610612757,1,2015-16
0021500311,1610612750,1610612746,0,2015-16
0021500312,1610612740,1610612738,0,2015-16
0021500313,1610612739,1610612757,1,2015-16
0021500314,1610612754,1610612744,0,2015-16
0021500315,1610612751,1610612745,1,2015-16
0021500316,1610612763,1610612760,0,2015-16
0021500317,1610612743,1610612753,0,2015-16
0021500318,1610612758,1610612762,1,2015-16
0021500319,1610612738,1610612741,1,2015-16
0021500320,1610612766,1610612748,1,2015-16
0021500321,1610612764,1610612745,0,2015-16
0021500322,1610612765,1610612763,0,2015-16
0021500323,1610612761,1610612759,1,2015-16
