GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0041700404,60,4,0,1,9:24 PM,6:43,G. Hill REBOUND (Off:1 Def:1),,,,,4,201588,George Hill,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,61,1,79,1,9:24 PM,6:38,Love 26' 3PT Pullup Jump Shot (4 PTS) (James 2 AST),,,13 - 11,-2,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,4,2544,LeBron James,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,
0041700404,63,9,1,1,9:24 PM,6:37,,,Warriors Timeout: Regular (Reg.1 Short 0),,,3,1610612744,,,,,,0,0,,,,,,0,0,,,,,
0041700404,64,6,11,1,9:24 PM,6:37,,,Durant T.FOUL (P1.T3) (J.Capers),,,5,201142,Kevin Durant,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,1,0,,,,,
0041700404,65,3,16,1,9:28 PM,6:37,MISS Love Free Throw Technical,,,,,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,66,4,1,1,9:28 PM,6:37,,,Warriors Rebound,,,3,1610612744,,,,,,0,0,,,,,,0,0,,,,,
0041700404,67,1,1,1,9:28 PM,6:25,,,Iguodala 24' 3PT Jump Shot (3 PTS) (Green 1 AST),16 - 11,-5,5,2738,Andre Iguodala,1610612744.0,Golden State,Warriors,GSW,5,203110,Draymond Green,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,
0041700404,69,5,1,1,9:28 PM,6:10,James Bad Pass Turnover (P1.T1),,Curry STEAL (1 STL),,,4,2544,LeBron James,1610612739.0,Cleveland,Cavaliers,CLE,5,201939,Stephen Curry,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,
0041700404,71,1,103,1,9:28 PM,6:03,,,Curry 27' 3PT Running Pull-Up Jump Shot (12 PTS),19 - 11,-8,5,201939,Stephen Curry,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,72,1,78,1,9:29 PM,5:51,Thompson 11' Floating Jump Shot (4 PTS) (James 3 AST),,,19 - 13,-6,4,202684,Tristan Thompson,1610612739.0,Cleveland,Cavaliers,CLE,4,2544,LeBron James,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,
0041700404,74,1,1,1,9:29 PM,5:42,,,Green  3PT Jump Shot (3 PTS) (Durant 1 AST),22 - 13,-9,5,203110,Draymond Green,1610612744.0,Golden State,Warriors,GSW,5,201142,Kevin Durant,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,
0041700404,76,2,1,1,9:29 PM,5:30,MISS G. Hill 30' 3PT Jump Shot,,,,,4,201588,George Hill,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,77,4,0,1,9:29 PM,5:27,,,Durant REBOUND (Off:0 Def:1),,,5,201142,Kevin Durant,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,78,6,1,1,9:29 PM,5:25,G. Hill P.FOUL (P1.T2) (S.Foster),,,,,4,201588,George Hill,1610612739.0,Cleveland,Cavaliers,CLE,5,201939,Stephen Curry,1610612744.0,Golden State,Warriors,GSW,1,0,,,,,
0041700404,80,8,0,1,9:29 PM,5:25,,,SUB: Bell FOR McGee,,,5,201580,JaVale McGee,1610612744.0,Golden State,Warriors,GSW,5,1628395,Jordan Bell,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,
0041700404,82,2,102,1,9:29 PM,5:18,,,MISS Durant 7' Driving Floating Bank Jump Shot,,,5,201142,Kevin Durant,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,83,4,0,1,9:30 PM,5:15,Love REBOUND (Off:0 Def:3),,,,,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,84,2,6,1,9:30 PM,5:11,MISS James 2' Driving Layup,,,,,4,2544,LeBron James,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,85,4,0,1,9:30 PM,5:07,,,Iguodala REBOUND (Off:0 Def:1),,,5,2738,Andre Iguodala,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,86,1,50,1,9:30 PM,5:07,,,Durant 1' Running Dunk (4 PTS) (Green 2 AST),24 - 13,-11,5,201142,Kevin Durant,1610612744.0,Golden State,Warriors,GSW,5,203110,Draymond Green,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,
0041700404,88,9,1,1,9:30 PM,5:07,CAVALIERS Timeout: Regular (Full 2 Short 0),,,,,2,1610612739,,,,,,0,0,,,,,,0,0,,,,,
