GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0011300115,339,5,1,3,10:10 PM,5:11,Ellis STEAL (1 STL),,Stephenson Bad Pass Turnover (P3.T12),,,5,202362,Lance Stephenson,1610612754.0,Indiana,Pacers,IND,4,101145,Monta Ellis,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0011300115,340,2,1,3,10:10 PM,5:04,MISS Blair 9' Jump Shot,,,,,4,201971,DeJuan Blair,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,0
0011300115,341,4,0,3,10:10 PM,5:03,,,G. Hill REBOUND (Off:0 Def:2),,,5,201588,George Hill,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,342,1,1,3,10:10 PM,4:54,,,G. Hill 25' 3PT Jump Shot (12 PTS) (George 2 AST),59 - 53,-6,5,201588,George Hill,1610612754.0,Indiana,Pacers,IND,5,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
0011300115,343,1,46,3,10:10 PM,4:35,Marion 13' Running Jump Shot (10 PTS) (Calderon 4 AST),,,59 - 55,-4,4,1890,Shawn Marion,1610612742.0,Dallas,Mavericks,DAL,4,101181,Jose Calderon,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0011300115,344,1,8,3,10:10 PM,4:23,,,Hibbert 1' Slam Dunk (14 PTS) (George 3 AST),61 - 55,-6,5,201579,Roy Hibbert,1610612754.0,Indiana,Pacers,IND,5,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
0011300115,345,1,42,3,10:11 PM,4:09,Blair 1' Driving Layup (7 PTS) (Ellis 5 AST),,,61 - 57,-4,4,201971,DeJuan Blair,1610612742.0,Dallas,Mavericks,DAL,4,101145,Monta Ellis,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0011300115,346,5,2,3,10:11 PM,3:54,Marion STEAL (2 STL),,West Lost Ball Turnover (P3.T13),,,5,2561,David West,1610612754.0,Indiana,Pacers,IND,4,1890,Shawn Marion,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0011300115,347,1,1,3,10:11 PM,3:35,Blair 5' Jump Shot (9 PTS) (Ellis 6 AST),,,61 - 59,-2,4,201971,DeJuan Blair,1610612742.0,Dallas,Mavericks,DAL,4,101145,Monta Ellis,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0011300115,348,9,1,3,10:11 PM,3:33,,,Pacers Timeout: Regular (Reg.3 Short 0),,,3,1610612754,,,,,,0,0,,,,,,0,0,,,,,,0
