index,Unnamed: 0,primaryKey,season,seasonType,gameId,gameDate,period,secondsElapsed,team1Score,team2Score,offenseTeamId1,offensePlayer1Id,offensePlayer2Id,offensePlayer3Id,offensePlayer4Id,offensePlayer5Id,defenseTeamId2,defensePlayer1Id,defensePlayer2Id,defensePlayer3Id,defensePlayer4Id,defensePlayer5Id,points,expectedPoints,defensiveRebounds,offensiveRebounds,opponentDefensiveRebounds,opponentOffensiveRebounds,offensiveFouls,defensiveFouls,turnovers,fieldGoalAttempts,fieldGoals,threePtAttempts,threePtMade,freeThrowAttempts,freeThrowsMade,possessions,seconds,dt,adjustedPoints
26683,26683,72_0022100034_1610612763,2021-22,Regular Season,22100034,1634961600000,1,414,,,1610612763,203500,1628991,1629001,1629630,1630217,1610612746,202331,202339,202694,202704,1627826,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,14,2021-10-29T13:59:40.216,0.0
26684,26684,72_0022100036_1610612752,2021-22,Regular Season,22100036,1635048000000,1,336,,,1610612752,202689,203095,203944,1629011,1629628,1610612753,203082,1628964,1628976,1630532,1630591,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,19,2021-10-29T13:59:40.216,0.0
26687,26687,72_0022100042_1610612754,2021-22,Regular Season,22100042,1635134400000,1,290,,,1610612754,203200,1627734,1627763,1629052,1630537,1610612749,201588,203114,203648,1626192,1628960,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,2021-10-29T13:59:40.216,0.0
26688,26688,72_0022100047_1610612740,2021-22,Regular Season,22100047,1635134400000,1,343,,,1610612740,202685,1627742,1628984,1629638,1630529,1610612750,1626156,1626157,1629006,1630162,1630183,0.0,0.8066503787728061,0,0,1,0,0,0,0,1,0,1,0,0,0,1,23,2021-10-29T13:59:40.216,0.0
26691,26691,72_0022100051_1610612760,2021-22,Regular Season,22100051,1635220800000,1,382,10.0,21.0,1610612760,1628983,1629647,1629652,1630526,1630581,1610612744,201939,203110,203952,1626172,1629673,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,15,2021-10-29T13:59:40.216,2.0
26692,26692,72_0022100053_1610612747,2021-22,Regular Season,22100053,1635220800000,1,308,8.0,13.0,1610612747,201566,201599,203076,203145,1628370,1610612759,203926,1627749,1627751,1628401,1629640,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,2021-10-29T13:59:40.216,2.0
26694,26694,72_0022100057_1610612748,2021-22,Regular Season,22100057,1635307200000,1,364,,,1610612748,200768,200782,202710,1628389,1629130,1610612751,200746,201142,201935,201988,203925,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,18,2021-10-29T13:59:40.216,0.0
26696,26696,72_0022100059_1610612737,2021-22,Regular Season,22100059,1635307200000,1,319,18.0,13.0,1610612737,203991,203992,1628989,1629027,1629631,1610612740,202066,202685,1627742,1628984,1629638,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,10,2021-10-29T13:59:40.216,2.0
26699,26699,72_0022100060_1610612750,2021-22,Regular Season,22100060,1635307200000,1,362,,,1610612750,1626156,1626157,1629020,1630162,1630183,1610612749,203114,203507,1626171,1628960,1629620,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,17,2021-10-29T13:59:40.216,0.0
26700,26700,72_0022100061_1610612747,2021-22,Regular Season,22100061,1635307200000,1,381,,,1610612747,201566,201599,203076,203145,1628370,1610612760,202324,1628983,1629647,1629652,1630581,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2021-10-29T13:59:40.216,0.0
