,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
224,201571,D.J. Augustin,0.8,75.0,1.05,17.0,-0.25,324.0,8
225,201572,Brook Lopez,1.57,22.0,1.03,18.0,0.54,75.0,8
226,201577,Robin Lopez,0.59,101.0,0.43,106.0,0.16,177.0,8
227,201580,JaVale McGee,0.28,159.0,0.16,176.0,0.12,184.0,8
228,201583,Ryan Anderson,0.19,174.0,0.04,225.0,0.15,179.0,8
229,201584,Courtney Lee,-0.06,254.0,-0.26,335.0,0.2,164.0,8
230,201586,Serge Ibaka,-0.87,409.0,-0.11,286.0,-0.76,421.0,8
231,201587,Nicolas Batum,0.02,222.0,-0.67,412.0,0.69,56.0,8
232,201588,George Hill,1.06,45.0,0.05,219.0,1.01,28.0,8
233,201599,DeAndre Jordan,-1.17,431.0,0.09,207.0,-1.25,463.0,8
234,201609,Goran Dragic,-0.83,407.0,-1.44,465.0,0.61,68.0,8
235,201933,Blake Griffin,0.08,211.0,-0.57,401.0,0.64,64.0,8
236,201935,James Harden,2.0,6.0,0.11,198.0,1.89,3.0,8
237,201937,Ricky Rubio,1.2,36.0,0.72,53.0,0.47,89.0,8
238,201939,Stephen Curry,0.08,209.0,-0.22,329.0,0.3,134.0,8
239,201942,DeMar DeRozan,-0.84,408.0,-0.88,437.0,0.04,215.0,8
240,201949,James Johnson,0.11,198.0,-0.03,259.0,0.14,182.0,8
241,201950,Jrue Holiday,-0.46,348.0,-0.75,422.0,0.28,136.0,8
242,201952,Jeff Teague,-0.38,333.0,-1.05,454.0,0.68,59.0,8
243,201959,Taj Gibson,-1.66,456.0,-0.57,403.0,-1.09,447.0,8
244,201960,DeMarre Carroll,0.11,200.0,-0.19,319.0,0.3,131.0,8
245,201961,Wayne Ellington,-0.48,351.0,0.09,206.0,-0.57,390.0,8
246,201976,Patrick Beverley,1.63,19.0,0.79,40.0,0.84,49.0,8
247,201980,Danny Green,1.15,39.0,0.24,153.0,0.92,35.0,8
248,201988,Patty Mills,0.73,85.0,-0.17,313.0,0.91,39.0,8
249,202066,Garrett Temple,0.23,169.0,0.38,115.0,-0.15,301.0,8
250,202083,Wesley Matthews,1.76,13.0,1.1,15.0,0.66,62.0,8
251,202323,Evan Turner,-0.6,372.0,0.28,140.0,-0.88,435.0,8
252,202324,Derrick Favors,-0.05,252.0,-0.53,393.0,0.48,86.0,8
253,202329,Al-Farouq Aminu,-0.69,388.0,0.66,58.0,-1.35,468.0,8
254,202330,Gordon Hayward,0.58,102.0,0.37,121.0,0.21,161.0,8
255,202331,Paul George,0.75,82.0,0.25,150.0,0.5,83.0,8
256,202334,Ed Davis,-1.07,422.0,0.19,163.0,-1.26,464.0,8
257,202335,Patrick Patterson,-0.07,261.0,0.38,117.0,-0.45,369.0,8
258,202339,Eric Bledsoe,1.61,20.0,1.3,9.0,0.31,129.0,8
259,202340,Avery Bradley,-0.75,398.0,-0.22,328.0,-0.53,381.0,8
260,202355,Hassan Whiteside,0.24,167.0,-0.23,331.0,0.47,91.0,8
261,202357,Nemanja Bjelica,-0.65,377.0,-0.59,407.0,-0.06,260.0,8
262,202397,Ish Smith,-0.38,334.0,-0.94,444.0,0.56,73.0,8
263,202681,Kyrie Irving,-0.23,303.0,-0.53,392.0,0.3,133.0,8
264,202683,Enes Kanter,1.18,37.0,0.26,145.0,0.92,36.0,8
265,202684,Tristan Thompson,-0.54,359.0,-0.03,255.0,-0.51,378.0,8
266,202685,Jonas Valanciunas,0.14,189.0,0.84,35.0,-0.7,410.0,8
267,202687,Bismack Biyombo,-0.78,400.0,-0.03,258.0,-0.75,417.0,8
268,202688,Brandon Knight,-0.48,350.0,-0.28,340.0,-0.2,311.0,8
269,202689,Kemba Walker,2.11,5.0,-0.07,276.0,2.18,2.0,8
270,202692,Alec Burks,-1.95,468.0,-0.82,432.0,-1.13,452.0,8
271,202693,Markieff Morris,-1.02,419.0,-0.38,361.0,-0.64,400.0,8
272,202694,Marcus Morris,-0.73,393.0,-0.4,366.0,-0.33,344.0,8
273,202695,Kawhi Leonard,3.25,2.0,2.0,2.0,1.25,20.0,8
274,202696,Nikola Vucevic,0.92,63.0,0.74,48.0,0.17,173.0,8
275,202697,Iman Shumpert,-0.8,402.0,-0.16,312.0,-0.64,401.0,8
276,202699,Tobias Harris,1.2,35.0,0.9,27.0,0.3,130.0,8
277,202704,Reggie Jackson,0.24,166.0,0.38,116.0,-0.14,297.0,8
278,202709,Cory Joseph,-0.82,405.0,-0.49,381.0,-0.33,345.0,8
279,202710,Jimmy Butler,1.65,18.0,0.97,22.0,0.68,58.0,8
280,202711,Bojan Bogdanovic,1.93,8.0,0.24,151.0,1.69,6.0,8
281,202718,Chandler Parsons,-0.65,380.0,-0.34,351.0,-0.32,342.0,8
282,202722,Davis Bertans,1.16,38.0,-0.44,371.0,1.6,7.0,8
283,202734,ETwaun Moore,-0.06,253.0,0.06,215.0,-0.12,288.0,8
284,202738,Isaiah Thomas,-1.18,432.0,-1.53,467.0,0.34,120.0,8
285,202954,Brad Wanamaker,0.26,162.0,0.81,38.0,-0.56,387.0,8
286,203076,Anthony Davis,0.48,117.0,0.42,109.0,0.06,207.0,8
287,203077,Michael Kidd-Gilchrist,0.92,62.0,0.65,59.0,0.27,140.0,8
288,203078,Bradley Beal,-1.69,459.0,-2.59,473.0,0.9,41.0,8
289,203081,Damian Lillard,1.21,33.0,-0.07,274.0,1.27,19.0,8
290,203082,Terrence Ross,-0.45,345.0,-0.19,318.0,-0.26,328.0,8
291,203083,Andre Drummond,-0.2,300.0,-0.47,376.0,0.27,141.0,8
292,203084,Harrison Barnes,0.16,181.0,0.5,85.0,-0.34,347.0,8
293,203085,Austin Rivers,1.1,42.0,-0.31,344.0,1.41,12.0,8
294,203086,Meyers Leonard,0.34,141.0,0.4,111.0,-0.06,262.0,8
295,203087,Jeremy Lamb,0.48,115.0,0.14,184.0,0.34,121.0,8
296,203089,John Henson,-0.36,330.0,-0.2,322.0,-0.16,302.0,8
