,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,RAPM__intercept
237,201937,Ricky Rubio,1.04,52.0,0.51,89.0,0.54,81.0,110.2
238,201939,Stephen Curry,-0.36,337.0,-0.45,377.0,0.1,194.0,110.2
239,201942,DeMar DeRozan,-1.01,416.0,-1.11,452.0,0.1,191.0,110.2
240,201949,James Johnson,0.25,153.0,0.11,197.0,0.14,177.0,110.2
241,201950,Jrue Holiday,-0.13,276.0,-0.45,376.0,0.32,126.0,110.2
242,201952,Jeff Teague,-0.19,296.0,-0.71,414.0,0.52,84.0,110.2
243,201959,Taj Gibson,-1.64,458.0,-0.73,419.0,-0.91,441.0,110.2
244,201960,DeMarre Carroll,0.17,164.0,0.06,216.0,0.11,186.0,110.2
245,201961,Wayne Ellington,-0.08,257.0,0.28,136.0,-0.35,351.0,110.2
246,201976,Patrick Beverley,1.57,24.0,1.14,21.0,0.43,103.0,110.2
247,201980,Danny Green,1.08,47.0,0.3,132.0,0.78,51.0,110.2
248,201988,Patty Mills,1.02,54.0,0.19,165.0,0.83,46.0,110.2
249,202066,Garrett Temple,-0.43,345.0,0.22,151.0,-0.65,409.0,110.2
250,202083,Wesley Matthews,2.11,12.0,1.2,15.0,0.92,38.0,110.2
251,202323,Evan Turner,-0.6,373.0,0.3,133.0,-0.9,437.0,110.2
252,202324,Derrick Favors,-0.04,246.0,-0.17,322.0,0.13,181.0,110.2
253,202329,Al-Farouq Aminu,-0.64,377.0,0.62,69.0,-1.26,464.0,110.2
254,202330,Gordon Hayward,0.71,86.0,0.04,225.0,0.67,60.0,110.2
255,202331,Paul George,1.16,43.0,0.3,134.0,0.86,40.0,110.2
256,202334,Ed Davis,-0.83,399.0,0.02,237.0,-0.85,432.0,110.2
257,202335,Patrick Patterson,0.5,112.0,0.61,74.0,-0.11,275.0,110.2
258,202339,Eric Bledsoe,1.37,32.0,0.8,42.0,0.57,76.0,110.2
259,202340,Avery Bradley,0.01,218.0,0.38,113.0,-0.38,355.0,110.2
260,202355,Hassan Whiteside,-0.04,241.0,-0.42,366.0,0.38,110.0,110.2
