PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED
Jalen Brunson,Mavericks,08 January 2021,18 January 2021,10
Luke Kornet,Bulls,14 January 2021,18 January 2021,4
Bam Adebayo,Heat,11 January 2021,16 January 2021,5
Goran Dragic,Heat,11 January 2021,16 January 2021,5
Kendrick Nunn,Heat,11 January 2021,16 January 2021,5
KZ Okpala,Heat,11 January 2021,16 January 2021,5
Moe Harkless,Heat,11 January 2021,16 January 2021,5
Udonis Haslem,Heat,11 January 2021,16 January 2021,5
Victor Oladipo,Rockets,14 January 2021,16 January 2021,2
Lauri Markkanen,Bulls,31 December 2020,15 January 2021,15
Ryan Arcidiacono,Bulls,31 December 2020,15 January 2021,15
Tobias Harris,76ers,09 January 2021,14 January 2021,5
Tristan Thompson,Celtics,08 January 2021,14 January 2021,6
Zion Williamson,Pelicans,13 January 2021,14 January 2021,1
Eric Paschall,Warriors,12 January 2021,13 January 2021,1
Tyler Johnson,Nets,08 January 2021,13 January 2021,5
Taj Gibson,Knicks,08 January 2021,12 January 2021,4
Jabari Parker,Kings,06 January 2021,11 January 2021,5
Bradley Beal,Wizards,09 January 2021,10 January 2021,1
Kevin Durant,Nets,04 January 2021,10 January 2021,6
Javonte Green,Celtics,30 December 2020,08 January 2021,9
Alex Caruso,Lakers,28 December 2020,06 January 2021,9
Rajon Rondo,Hawks,22 December 2020,26 December 2020,4
