PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,SEASON,SEASON_TYPE
1627739,"Kris Dunn",1610612741,CHI,25,32,12,20,0.375,748.882,95,219,0.434,16,69,0.232,20,29,0.69,17,93,110,102,36,66,12,13,114,36,226,-8,709,0,0,2019-20,"Regular Season"
1627740,"Henry Ellenson",1610612751,BKN,22,4,2,2,0.5,13.6833,1,7,0.143,0,4,0,0,0,0,2,2,4,0,0,0,0,1,1,0,2,9,6.8,0,0,2019-20,"Regular Season"
1627741,"Buddy Hield",1610612758,SAC,27,31,12,19,0.387,1055.32,230,559,0.411,113,318,0.355,52,62,0.839,28,127,155,89,76,26,9,31,78,52,625,-42,973.5,1,0,2019-20,"Regular Season"
1627742,"Brandon Ingram",1610612740,NOP,22,28,7,21,0.25,952.005,252,515,0.489,66,161,0.41,137,162,0.846,24,175,199,105,81,25,22,20,83,153,707,-100,1163.3,6,0,2019-20,"Regular Season"
1627745,"Damian Jones",1610612737,ATL,24,29,5,24,0.172,521.83,82,120,0.683,2,6,0.333,37,53,0.698,46,65,111,20,18,12,27,19,94,54,203,-147,465.2,0,0,2019-20,"Regular Season"
1627746,"Skal Labissiere",1610612757,POR,23,32,14,18,0.438,564.173,81,146,0.555,3,12,0.25,25,33,0.758,65,103,168,42,30,7,31,7,87,34,190,15,538.6,1,0,2019-20,"Regular Season"
1627747,"Caris LeVert",1610612751,BKN,25,9,4,5,0.444,283.95,59,140,0.421,13,36,0.361,20,31,0.645,10,35,45,36,31,6,1,9,20,32,151,7,249,0,0,2019-20,"Regular Season"
1627748,"Thon Maker",1610612765,DET,22,30,12,18,0.4,338.955,34,66,0.515,8,20,0.4,33,51,0.647,19,41,60,14,18,9,18,4,43,39,109,-47,265,0,0,2019-20,"Regular Season"
1627749,"Dejounte Murray",1610612759,SAS,23,27,10,17,0.37,633.828,112,232,0.483,8,34,0.235,43,55,0.782,31,128,159,110,63,49,9,19,67,52,275,-113,741.8,3,0,2019-20,"Regular Season"
1627750,"Jamal Murray",1610612743,DEN,22,30,21,9,0.7,954.523,197,451,0.437,50,154,0.325,81,90,0.9,29,101,130,135,69,42,8,16,52,95,525,179,964.5,1,0,2019-20,"Regular Season"
1627751,"Jakob Poeltl",1610612759,SAS,24,30,12,18,0.4,545.225,72,121,0.595,0,0,0,22,42,0.524,63,109,172,52,26,16,43,15,52,47,166,71,601.4,1,0,2019-20,"Regular Season"
1627752,"Taurean Prince",1610612751,BKN,25,30,16,14,0.533,913.928,131,351,0.373,72,198,0.364,29,38,0.763,25,171,196,66,61,26,13,16,83,46,363,61,753.2,6,0,2019-20,"Regular Season"
1627756,"Denzel Valentine",1610612741,CHI,26,18,7,11,0.389,226.228,44,106,0.415,26,66,0.394,5,5,1,3,33,36,19,10,12,4,1,25,4,119,-4,228.7,0,0,2019-20,"Regular Season"
1627759,"Jaylen Brown",1610612738,BOS,23,26,19,7,0.731,869.31,201,386,0.521,57,143,0.399,79,105,0.752,26,157,183,63,52,27,9,29,81,81,538,127,908.1,3,0,2019-20,"Regular Season"
1627761,"DeAndre' Bembry",1610612737,ATL,25,31,6,25,0.194,698.157,82,175,0.469,11,45,0.244,20,39,0.513,30,93,123,70,42,38,14,14,57,38,195,-204,561.6,2,0,2019-20,"Regular Season"
1627763,"Malcolm Brogdon",1610612754,IND,27,26,17,9,0.654,816.387,171,378,0.452,37,111,0.333,98,105,0.933,17,101,118,198,71,23,5,25,54,82,477,88,928.6,7,0,2019-20,"Regular Season"
1627767,"Cheick Diallo",1610612756,PHX,23,20,7,13,0.35,190.34,45,65,0.692,1,1,1,18,21,0.857,14,41,55,10,12,2,4,3,21,17,109,-1,196,1,0,2019-20,"Regular Season"
1627774,"Jake Layman",1610612750,MIN,25,14,8,6,0.571,368.9,61,132,0.462,19,54,0.352,6,10,0.6,12,29,41,11,18,12,10,2,31,13,147,15,260.7,0,0,2019-20,"Regular Season"
1627775,"Patrick McCaw",1610612761,TOR,24,10,7,3,0.7,239.562,17,43,0.395,7,23,0.304,3,4,0.75,5,15,20,12,12,12,0,1,18,4,44,-44,110,0,0,2019-20,"Regular Season"
1627777,"Georges Niang",1610612762,UTA,26,25,16,9,0.64,295.973,41,88,0.466,23,56,0.411,7,10,0.7,5,38,43,10,13,4,3,2,34,11,112,-110,186.6,0,0,2019-20,"Regular Season"
1627780,"Gary Payton II",1610612764,WAS,27,2,1,1,0.5,64.8667,8,16,0.5,3,4,0.75,1,2,0.5,7,9,16,10,3,7,2,1,4,1,20,7,78.2,1,0,2019-20,"Regular Season"
1627783,"Pascal Siakam",1610612761,TOR,25,27,19,8,0.704,989.418,253,554,0.457,67,171,0.392,104,128,0.813,38,179,217,97,72,26,26,34,77,103,677,197,1166.9,9,0,2019-20,"Regular Season"
1627788,"Furkan Korkmaz",1610612755,PHI,22,33,22,11,0.667,687.137,102,233,0.438,54,140,0.386,19,25,0.76,7,66,73,25,22,18,7,4,48,31,277,76,455.1,0,0,2019-20,"Regular Season"
1627789,"Timothe Luwawu-Cabarrot",1610612751,BKN,24,8,3,5,0.375,123.683,10,28,0.357,3,12,0.25,9,10,0.9,1,10,11,3,8,3,1,6,10,7,32,-20,53.7,0,0,2019-20,"Regular Season"
1627790,"Ante Zizic",1610612739,CLE,22,10,0,10,0,95.5167,18,31,0.581,0,0,0,9,10,0.9,7,18,25,0,1,2,3,3,11,11,45,-4,89,0,0,2019-20,"Regular Season"
1627812,"Yogi Ferrell",1610612758,SAC,26,24,10,14,0.417,333.177,46,106,0.434,10,37,0.27,28,32,0.875,4,30,34,41,18,10,3,6,20,26,130,-17,253.3,0,0,2019-20,"Regular Season"
1627814,"Damion Lee",1610612744,GSW,27,19,6,13,0.316,471.43,72,177,0.407,24,68,0.353,58,65,0.892,17,78,95,41,22,16,0,7,36,64,226,21,427.5,2,0,2019-20,"Regular Season"
