playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
1628035,Alfonzo McKinnie,-0.11,268.0,-0.73,419.0,0.62,70.0,2
1628365,Markelle Fultz,0.01,215.0,0.15,173.0,-0.14,291.0,2
1628366,Lonzo Ball,-0.63,377.0,0.09,206.0,-0.72,415.0,2
1628368,DeAaron Fox,-0.41,337.0,-1.0,444.0,0.58,73.0,2
1628369,Jayson Tatum,3.24,1.0,1.69,3.0,1.56,7.0,2
1628370,Malik Monk,-0.83,403.0,0.01,244.0,-0.84,435.0,2
1628371,Jonathan Isaac,1.06,52.0,0.98,27.0,0.09,197.0,2
1628372,Dennis Smith Jr.,-1.4,445.0,-0.46,378.0,-0.94,445.0,2
1628373,Frank Ntilikina,-0.34,323.0,-0.28,343.0,-0.07,259.0,2
1628374,Lauri Markkanen,-0.67,382.0,0.15,176.0,-0.82,431.0,2
1628378,Donovan Mitchell,0.67,91.0,-0.16,311.0,0.82,46.0,2
1628379,Luke Kennard,-0.12,270.0,-0.5,383.0,0.38,111.0,2
1628380,Zach Collins,0.4,130.0,0.18,164.0,0.23,153.0,2
1628381,John Collins,-0.15,285.0,0.6,72.0,-0.76,418.0,2
1628382,Justin Jackson,-0.17,289.0,-0.69,412.0,0.52,85.0,2
1628383,Justin Patton,0.07,192.0,-0.07,276.0,0.14,173.0,2
1628384,OG Anunoby,1.19,45.0,0.82,42.0,0.37,117.0,2
1628385,Harry Giles III,0.05,202.0,0.05,224.0,-0.0,230.0,2
1628386,Jarrett Allen,0.32,144.0,-0.06,274.0,0.38,114.0,2
1628388,TJ Leaf,-0.03,233.0,0.53,84.0,-0.56,386.0,2
1628389,Bam Adebayo,1.5,29.0,0.68,62.0,0.82,47.0,2
1628390,Terrance Ferguson,-0.75,393.0,-0.56,392.0,-0.19,308.0,2
1628391,D.J. Wilson,-0.29,315.0,-0.27,340.0,-0.03,242.0,2
1628392,Isaiah Hartenstein,0.39,134.0,0.08,207.0,0.31,132.0,2
1628395,Jordan Bell,-0.17,292.0,-0.57,394.0,0.39,108.0,2
1628396,Tony Bradley,-0.6,371.0,-0.23,332.0,-0.36,352.0,2
1628398,Kyle Kuzma,0.37,136.0,0.29,130.0,0.08,199.0,2
1628400,Semi Ojeleye,-0.35,325.0,0.27,135.0,-0.62,399.0,2
1628401,Derrick White,-0.6,372.0,0.16,169.0,-0.77,421.0,2
1628402,Frank Jackson,-1.16,430.0,-1.38,462.0,0.22,154.0,2
1628403,Caleb Swanigan,-0.02,229.0,0.09,202.0,-0.12,279.0,2
1628404,Josh Hart,-0.02,228.0,0.34,120.0,-0.37,354.0,2
1628405,Johnathan Motley,-0.0,224.0,-0.06,271.0,0.05,211.0,2
1628407,Dwayne Bacon,-1.18,434.0,-0.04,266.0,-1.15,456.0,2
1628410,Edmond Sumner,-0.48,350.0,-0.07,277.0,-0.41,364.0,2
1628411,Wes Iwundu,0.5,112.0,0.59,74.0,-0.09,270.0,2
1628412,Frank Mason,0.32,143.0,0.18,161.0,0.14,174.0,2
1628413,Jonah Bolden,-0.19,298.0,-0.12,300.0,-0.07,260.0,2
1628415,Dillon Brooks,-1.18,433.0,-0.34,359.0,-0.84,433.0,2
1628418,Thomas Bryant,-1.42,449.0,-1.2,456.0,-0.22,317.0,2
1628420,Monte Morris,-0.38,331.0,0.15,174.0,-0.54,380.0,2
1628422,Damyean Dotson,0.04,205.0,-0.07,278.0,0.11,186.0,2
1628425,Sterling Brown,1.01,55.0,1.09,20.0,-0.07,261.0,2
1628436,Luke Kornet,-0.61,373.0,-0.43,374.0,-0.18,306.0,2
1628443,Kadeem Allen,-0.14,279.0,-0.06,268.0,-0.08,268.0,2
1628449,Chris Boucher,0.74,81.0,0.13,190.0,0.61,71.0,2
1628464,Daniel Theis,0.87,66.0,0.64,65.0,0.23,152.0,2
1628467,Maxi Kleber,0.89,64.0,0.56,80.0,0.34,124.0,2
1628470,Torrey Craig,-0.55,361.0,-0.28,346.0,-0.26,327.0,2
1628476,Derrick Walton Jr.,0.34,138.0,0.17,167.0,0.17,166.0,2
1628513,Naz Mitrou-Long,0.53,109.0,0.4,107.0,0.12,179.0,2
1628518,Amile Jefferson,0.04,209.0,0.07,212.0,-0.03,247.0,2
1628960,Grayson Allen,-0.24,305.0,0.43,104.0,-0.67,406.0,2
1628961,Kostas Antetokounmpo,0.05,201.0,0.03,235.0,0.03,218.0,2
1628963,Marvin Bagley III,-1.1,424.0,-0.37,367.0,-0.73,416.0,2
1628964,Mo Bamba,0.52,110.0,0.51,87.0,0.01,227.0,2
1628966,Keita Bates-Diop,-1.64,457.0,-0.32,355.0,-1.32,466.0,2
1628969,Mikal Bridges,0.4,131.0,0.81,43.0,-0.41,363.0,2
1628970,Miles Bridges,-3.57,473.0,-1.91,471.0,-1.66,473.0,2
1628971,Bruce Brown,-0.27,313.0,0.06,220.0,-0.33,347.0,2
1628972,Troy Brown Jr.,0.0,222.0,-0.09,290.0,0.09,196.0,2
1628973,Jalen Brunson,1.36,35.0,0.8,45.0,0.56,77.0,2
1628975,Jevon Carter,0.64,94.0,0.79,48.0,-0.15,294.0,2
1628976,Wendell Carter Jr.,0.58,102.0,0.79,46.0,-0.21,316.0,2
1628977,Hamidou Diallo,0.52,111.0,0.71,57.0,-0.19,309.0,2
1628978,Donte DiVincenzo,3.14,2.0,2.2,1.0,0.94,32.0,2
1628980,Jacob Evans,-0.16,288.0,-0.06,272.0,-0.1,273.0,2
1628982,Melvin Frazier Jr.,-0.13,274.0,0.02,237.0,-0.15,295.0,2
1628983,Shai Gilgeous-Alexander,-0.29,316.0,-0.35,365.0,0.06,209.0,2
1628984,Devonte Graham,-0.09,257.0,-0.92,438.0,0.83,45.0,2
